relative_time,LinearAccelerometerSensor,AccX,AccY
104128,,10.200000762939453,-4.866000175476074
104134,,11.104950904846191,-5.1220502853393555
104137,,,
104138,,11.847000122070312,
104139,0.4585542814566711,,-5.139000415802002
104143,,12.406950950622559,
104144,,,-5.112000465393066
104148,,12.784950256347656,
104150,,,-5.044950008392334
104153,,12.93600082397461,
104156,,,-4.753050327301025
104158,0.5378870103059429,,
104159,,12.996000289916992,-4.332000255584717
104163,,13.027050971984863,
104164,,,-3.9049501419067383
104169,,13.093950271606445,-3.642000198364258
104173,,13.116000175476074,
104174,,,-3.384000062942505
104176,,,
104177,,,
104178,0.4869063283808705,,
104181,,13.117950439453125,-3.2350502014160156
104184,,13.021950721740723,
104185,,,-3.2539501190185547
104189,,12.739950180053711,-3.2280001640319824
104193,,12.244050979614258,
104194,,,-3.2260501384735107
104199,0.4779228587221983,,
104202,,11.686050415039062,-3.181950092315674
104206,,11.17905044555664,
104207,,,-3.2179501056671143
104209,,10.606950759887695,
104210,,,-3.1249501705169678
104213,,10.104000091552734,
104214,,,-3.1249501705169678
104217,,,
104219,,9.63705062866211,-3.0360002517700195
104220,0.40507925506110454,,
104224,,9.244050025939941,
104225,,,-3.1660501956939697
104229,,8.758049964904785,
104230,,,-3.328050136566162
104234,,8.206950187683105,-3.220950126647949
104239,0.4610076786216838,,
104240,,7.846050262451172,-3.151050090789795
104244,,7.4509501457214355,
104245,,,-3.388050079345703
104250,,7.009950160980225,
104251,,,-3.6090002059936523
104255,,6.699000358581543,-3.6640501022338867
104257,,,
104259,,6.642000198364258,-3.730950117111206
104260,0.5972630821957297,,
104264,,6.426000118255615,-3.709050178527832
104269,,6.474000453948975,
104270,,,-3.610950231552124
104274,,6.571950435638428,-3.3979501724243164
104279,,6.814050197601318,-3.1440000534057617
104280,0.743347105324897,,
104284,,6.973950386047363,-2.8380000591278076
104289,,7.173000335693359,
104290,,,-2.632050037384033
104294,,7.405050277709961,-2.308950185775757
104295,,,
104300,0.8944632825058951,7.599000453948975,-1.966050148010254
104304,,7.719000339508057,
104305,,,-1.6429500579833984
104309,,7.824000358581543,
104310,,,-1.380000114440918
104313,,,
104314,,7.870050430297852,-0.8550000190734863
104319,0.9223825059929899,,
104320,,7.803000450134277,-0.4549500346183777
104324,,7.839000225067139,
104325,,,-0.13905000686645508
104327,,,
104329,,7.839000225067139,
104330,,,0.22095000743865967
104334,,7.803000450134277,
104335,,,0.5299500226974487
104336,,,
104339,,7.7910003662109375,
104340,0.8601388830775617,,0.8050500154495239
104344,,7.803000450134277,
104345,,,1.0090500116348267
104349,,7.887000560760498,
104350,,,1.1500500440597534
104354,,8.065950393676758,
104355,,,1.2799500226974487
104359,,8.289000511169434,
104360,,,1.339050054550171
104361,0.7447454442617674,,
104366,,8.671950340270996,1.3870500326156616
104369,,9.151050567626953,
104370,,,1.366050124168396
104374,,9.56505012512207,
104375,,,1.3870500326156616
104376,,,
104377,,,
104380,0.6609921552276252,9.991050720214844,1.2889500856399536
104385,,10.434000968933105,1.1740500926971436
104389,,10.815000534057617,
104390,,,1.075950026512146
104394,,11.313000679016113,
104395,,,0.931950032711029
104400,,11.78895092010498,
104402,0.8549560682822405,,0.7140000462532043
104405,,12.35205078125,
104409,,12.778050422668457,0.47505003213882446
104415,,13.144950866699219,0.18105000257492065
104416,,,
104420,1.1713495729638184,,
104421,,13.534950256347656,0.25995001196861267
104425,,13.72605037689209,
104426,,,-0.12000000476837158
104430,,14.076000213623047,
104432,,,-0.4339500069618225
